fixture_key	library_order	category	video_id	title	valid_sessions	invalid_sessions	total_sessions	watched
A2_LIB_051	51	React Hooks	QbC4LwsD1rw	React hooks: 10 - useEffect cleanup with clock code (2020)	0	0	0	False
A2_LIB_052	52	React Hooks	8Ee__cUapdg	React Hooks: 11 - Introduction to Custom Hooks (2020) 🚀	21	1	22	True
A2_LIB_053	53	React Hooks	EGVhrE6VuNM	React hooks: 14 - Introduction to Memoization and React.memo (2020) 🎉	6	3	9	True
A2_LIB_054	54	React Hooks	quS95gJdxsc	React hooks: 15 - So sánh useCallback và useMemo 😎 (2020)	16	1	17	True
A2_LIB_055	55	React Hooks	kp4fuB-0TBw	useRef hook: Get the previous value of the state 🎉	30	1	31	True
A2_LIB_056	56	Fullstack/SERN	Hfb76A34mBc	#15 Tại Sao Lại Là Node.JS - Những Điều Bạn Phải Biết Trước Khi Sử Dụng Platform Này.	9	1	10	True
A2_LIB_057	57	Fullstack/SERN	5Pb-z9DQjDw	#17.2 Bắt đầu với Express Framework - Viết Chương Trình Hello world với Node.js	2	1	3	True
A2_LIB_058	58	Fullstack/SERN	Tw8Vyz7dVgc	#18 Áp Dụng Mô Hình MVC vào Dự Án Node.JS	10	2	12	True
A2_LIB_059	59	Fullstack/SERN	B4sy3DL4IX0	#21 Kết Nối Tới MySQL Database với Sequelize - Render Dữ Liệu Ra View | Cấu hình cho Node.JS phần 3	12	4	16	True
A2_LIB_060	60	Fullstack/SERN	L3Z4KfyCZOI	#29 Concepts Cover - APIs, JSON, Object Javascript Là Gì ? Hướng Dẫn Cài Đặt Postman Để Test APIs	0	4	4	False
A2_LIB_061	61	Fullstack/SERN	AAAKXp2wa-0	#32 Explaining React.JS Project Structure | Things You Need to Know Before Following This Course	0	2	2	False
A2_LIB_062	62	Fullstack/SERN	rgSgSe1QUqU	#34 Using State and How to Handle Events OnClick, OnChange with React | React.JS for Beginners	9	2	11	True
A2_LIB_063	63	Fullstack/SERN	YqAU7T-BoDE	"#35  Viết APIs ""Chuẩn MEN"" với Node.js | Cách viết REST APIs cho Người Mới Bắt Đầu"	3	0	3	True
A2_LIB_064	64	Fullstack/SERN	PLY0jr90DmI	#36 Hoàn Thiện Chức Năng Đăng Nhập Kết Hợp React.Js Và Node.js | React Cho Người Mới Bắt Đầu	7	3	10	True
A2_LIB_065	65	Fullstack/SERN	pgZev-Y15EM	#37 CRUD với ReactJS Phần 1 - Viết API Lấy Tất Cả Thông Tin Người Dùng | React Cho Người Mới Bắt Đầu	37	1	38	True
A2_LIB_066	66	Fullstack/SERN	t_cedTldfjs	#68 Sequelize Relationship - Tìm Hiểu Quan Hệ Giữa Các Model & Database |React Cho Người Mới Bắt Đầu	9	6	15	True
A2_LIB_067	67	Fullstack/SERN	-cg9dq-Jq2M	INTRODUCING FULLSTACK JWT SERIES - React & Node.JS | Learn Fullstack Javascript with Ask IT People	0	1	1	False
A2_LIB_068	68	Fullstack/SERN	w946spjx_z0	Docker Practice 01 - Preparing Production Environment | Fullstack Course SERN clone Bookingcare	12	2	14	True
A2_LIB_069	69	Fullstack/SERN	L-Tzu2jT3Dw	Thực Hành Docker 04 - Build Backend Node.JS/MySQL với Docker Compose | Khóa Học Fullstack SERN	0	1	1	False
A2_LIB_070	70	Fullstack/SERN	wcQz4gSbSms	Docker Practice 08 - Nginx/React/Node.JS/MySQL with Docker Compose | SERN Fullstack Course	12	10	22	True
A2_LIB_071	71	Fullstack/SERN	WvAznEDhCdE	Cài Đặt Database Postgres với pgAdmin Tại môi trường Local	0	4	4	False
A2_LIB_072	72	Fullstack/SERN	NkulG9hH2LI	#105 [NEW] - Deploy app Node.JS với Render | Khóa Học SERN - SQL, Express, React & Node.js	13	1	14	True
A2_LIB_073	73	Fullstack/SERN	ncV0OEa9GoQ	#106 [NEW] - Deploy App React.JS với Vercel | Khóa Học SERN - SQL, Express, React & Node.js	5	1	6	True
A2_LIB_074	74	Node/Express	SdcdneSdoV4	HTTP protocol | Giao thức HTTP | Giao thức truyền tải siêu văn bản	6	3	9	True
A2_LIB_075	75	Node/Express	Wz6WghmEmFk	Basic Routing | Routing Techniques in Node.js	0	3	3	False
A2_LIB_076	76	Node/Express	LlfdqnK28Cg	POST method | POST method | HTTP protocol	30	5	35	True
A2_LIB_077	77	Node/Express	N8GhaR7K3tI	MVC model | MVC model	19	3	22	True
A2_LIB_078	78	Node/Express	Pd_ZIpCVZPc	MVC Routes & Controllers | Mô hình MVC	17	2	19	True
A2_LIB_079	79	Node/Express	nqLXmpEgU2w	[CRUD] Read from DB | Đọc Database | Xây dựng phần trang chủ	0	0	0	False
A2_LIB_080	80	Node/Express	dstdrBsf7ag	Soft delete | Kĩ thuật xóa mềm | Thực hành NodeJS	0	1	1	False
