"fixture_key"	"note_no"	"youtube_video_id"	"content"	"timestamp_seconds"	"vtt_track"	"cue_start_seconds"
"A2_LIB_014"	"1"	"vIob6cVNufw"	"Java Core: trình gọi là up casting hay rằng là down"	"185"	"vi-orig"	"185"
"A2_LIB_014"	"2"	"vIob6cVNufw"	"Java Core: dòng system out đi system out r đâ Chắc"	"366"	"vi-orig"	"366"
"A2_LIB_014"	"3"	"vIob6cVNufw"	"Java Core: bạn muốn chếa con mèo các bạn mới nói"			
"A2_LIB_015"	"1"	"eRj_XQawcBg"	"Java Core: class bên trong cùng một file nó cũng"	"162"	"vi-orig"	"162"
"A2_LIB_015"	"2"	"eRj_XQawcBg"	"Java Core: là nếu đối với một cái method thông"	"320"	"vi-orig"	"320"
"A2_LIB_015"	"3"	"eRj_XQawcBg"	"Java Core: là do những cái class đấy tự định nghĩa"			
"A2_LIB_016"	"1"	"xN_DF0FRx7A"	"Java Core: làm sáng tỏ cho các bạn ấy exception là"	"218"	"vi-orig"	"218"
"A2_LIB_016"	"2"	"xN_DF0FRx7A"	"Java Core: chỉ cần gõ từ try này control và dấu"	"403"	"vi-orig"	"403"
"A2_LIB_016"	"3"	"xN_DF0FRx7A"	"Java Core: chia củ chuối nha để xử lý cái thằng này"			
"A2_LIB_017"	"1"	"GgAsaNcxdwY"	"Java Core: sẽ cần phải import vào các bạn này ở đây"	"140"	"vi-orig"	"140"
"A2_LIB_017"	"2"	"GgAsaNcxdwY"	"Java Core: sẽ nhấn chuột phải cho mình chọn new cho"	"273"	"vi-orig"	"273"
"A2_LIB_017"	"3"	"GgAsaNcxdwY"	"Java Core: sau khi mà chúng ta đóng cái phần in n Ờ"			
"A2_LIB_018"	"1"	"9M0UjGVZaDY"	"Java Core: phải nghe nhạc này xem video cùng lúc"	"141"	"vi-orig"	"141"
"A2_LIB_018"	"2"	"9M0UjGVZaDY"	"Java Core: nó tường minh này đây mình sẽ tắt bớt đi"	"263"	"vi-orig"	"263"
"A2_LIB_018"	"3"	"9M0UjGVZaDY"	"Java Core: gọi là giống như các bạn xây một ngôi"			
"A2_LIB_019"	"1"	"pV45eVVcuYc"	"Java Core: bạn trở thành một Finance developer và"	"1026"	"vi-orig"	"1026"
"A2_LIB_019"	"2"	"pV45eVVcuYc"	"Java Core: starter web này nó sẽ cho phép các bạn"	"2027"	"vi-orig"	"2027"
"A2_LIB_019"	"3"	"pV45eVVcuYc"	"Java Core: website của chúng ta thôi thì ở đây nha"			
"A2_LIB_021"	"1"	"Pju2Y69Q6ew"	"DSA: sắp xếp tăng dần mà e đứng trước thì nó"	"1537"	"vi-orig"	"1537"
"A2_LIB_021"	"2"	"Pju2Y69Q6ew"	"DSA: thằng này nó bằng nhau thì mình lại so"	"3336"	"vi-orig"	"3336"
"A2_LIB_021"	"3"	"Pju2Y69Q6ew"	"DSA: em phải được sắp xếp đấy nhá chứ không"			
"A2_LIB_022"	"1"	"0_4s88NLOmw"	"DSA: đầu tiên lớn hơn hoặc bằng x ở trong"	"1524"	"vi-orig"	"1524"
"A2_LIB_022"	"2"	"0_4s88NLOmw"	"DSA: thì khi mà các bạn sử dụng deadline này thì"	"3056"	"vi-orig"	"3056"
"A2_LIB_022"	"3"	"0_4s88NLOmw"	"DSA: 28 tách đi học lập trình đó thì các bạn"			
"A2_LIB_023"	"1"	"sdosjI25u5c"	"DSA: y bằng 4 và y = 5 các bạn tính freeship"	"1572"	"vi-orig"	"1572"
"A2_LIB_023"	"2"	"sdosjI25u5c"	"DSA: xin lỗi 869 Đúng không nhỉ 18 7 và 9 đấy"	"3062"	"vi-orig"	"3062"
"A2_LIB_023"	"3"	"sdosjI25u5c"	"DSA: số ở các cái ô xung quanh mà trung đình"			
"A2_LIB_024"	"1"	"DRcAJNhtwbY"	"DSA: tự là các phần tử đầu tiên luôn là phần"	"416"	"vi-orig"	"416"
"A2_LIB_024"	"2"	"DRcAJNhtwbY"	"DSA: khi đó chi phí của mình sang 15 độ dài"	"753"	"vi-orig"	"753"
"A2_LIB_024"	"3"	"DRcAJNhtwbY"	"DSA: Cách Cách là mình sẽ lập Cai lần mỗi lần"			
"A2_LIB_025"	"1"	"MQZ1TH0l7sk"	"DSA: hành nhất được Diệp Phàm ký tự nào trong"	"881"	"vi-orig"	"881"
"A2_LIB_025"	"2"	"MQZ1TH0l7sk"	"DSA: không thể Lan sang hai được hình chữ"	"1851"	"vi-orig"	"1851"
"A2_LIB_025"	"3"	"MQZ1TH0l7sk"	"DSA: làm cho ngon ngất"			
"A2_LIB_026"	"1"	"XUx3iJVPdxA"	"DSA: 123455 phần tử nhóm hơn ca đúng không"	"672"	"vi-orig"	"672"
"A2_LIB_026"	"2"	"XUx3iJVPdxA"	"DSA: đã sai rồi đập nào và kara sau đó là ít ai nhỏ rồi"	"1236"	"vi-orig"	"1236"
"A2_LIB_026"	"3"	"XUx3iJVPdxA"	"DSA: lỗi sẽ làm một cái đi nhé Ok Sao thằng"			
"A2_LIB_028"	"1"	"mdG5TEiJTx8"	"DSA: Review the key ideas from #46. [C++]. Danh Sách Liên Kết Đơn Ngôn Ngữ Lập Trình C++| Quản Lý Sinh Viên Bằng Danh Sách Liên Kết."			
"A2_LIB_028"	"2"	"mdG5TEiJTx8"	"DSA: Review the key ideas from #46. [C++]. Danh Sách Liên Kết Đơn Ngôn Ngữ Lập Trình C++| Quản Lý Sinh Viên Bằng Danh Sách Liên Kết."			
"A2_LIB_029"	"1"	"efpaZznImN4"	"DSA: size Thế là gì bằng một đấy trường hợp"	"1029"	"vi-orig"	"1029"
"A2_LIB_029"	"2"	"efpaZznImN4"	"DSA: có thể gán x y = j20"	"2106"	"vi-orig"	"2106"
"A2_LIB_029"	"3"	"efpaZznImN4"	"DSA: bước nữa đấy là bước đánh dấu chân này"			
"A2_LIB_030"	"1"	"pGa4PfLLHx8"	"DSA: á thì là hai cái công việc đấy nó không"	"1845"	"vi-orig"	"1845"
"A2_LIB_030"	"2"	"pGa4PfLLHx8"	"DSA: thì trong 8 giây em chỉ tạo ra được 8"	"3234"	"vi-orig"	"3234"
"A2_LIB_030"	"3"	"pGa4PfLLHx8"	"DSA: 10 mũ 18 các thứ vào với nhau mà những"			
"A2_LIB_031"	"1"	"DMrd-RnLeJI"	"DSA: nhá. Đấy thì bây giờ mình mới đến lượt"	"420"	"vi-orig"	"420"
"A2_LIB_031"	"2"	"DMrd-RnLeJI"	"DSA: Đây là đỉnh đầu, đỉnh cuối và trọng số."	"827"	"vi-orig"	"827"
"A2_LIB_031"	"3"	"DMrd-RnLeJI"	"DSA: update thành 3 đúng không? 0 + 3 mà 164"			
"A2_LIB_032"	"1"	"KXsfp8YiucE"	"DSA: độ của cái ô xung quanh của cái ô này"	"249"	"vi-orig"	"249"
"A2_LIB_032"	"2"	"KXsfp8YiucE"	"DSA: gọi đệ quy gốc này. Nó có thể gọi đến"	"566"	"vi-orig"	"566"
"A2_LIB_032"	"3"	"KXsfp8YiucE"	"DSA: cũng không hợp lệ nữa nên là nó cũng"			
"A2_LIB_033"	"1"	"W8vJ-yOtSbE"	"JavaScript: nhất là các bạn chuyện cái gì vào qua"	"86"	"vi-orig"	"86"
"A2_LIB_033"	"2"	"W8vJ-yOtSbE"	"JavaScript: mình hỏi các bạn bình thường các bạn gọi"	"157"	"vi-orig"	"157"
"A2_LIB_033"	"3"	"W8vJ-yOtSbE"	"JavaScript: chỉ như vậy thôi Một khi các bạn định"			
"A2_LIB_034"	"1"	"TsTr-tKCREc"	"JavaScript: hình dạng cây như thế này mà phóng to"	"244"	"vi-orig"	"244"
"A2_LIB_034"	"2"	"TsTr-tKCREc"	"JavaScript: một cái điểm giao nhau hoặc nó là những"	"507"	"vi-orig"	"507"
"A2_LIB_034"	"3"	"TsTr-tKCREc"	"JavaScript: toàn bộ khách sạn của chúng ta tất cả"			
"A2_LIB_036"	"1"	"U624VLOxiTo"	"JavaScript: kiểu như vậy rất là nhiều việc xảy ra"	"248"	"vi-orig"	"248"
"A2_LIB_036"	"2"	"U624VLOxiTo"	"JavaScript: lắng nghe cái sự kiện này thì"	"502"	"vi-orig"	"502"
"A2_LIB_036"	"3"	"U624VLOxiTo"	"JavaScript: cấp cho các bạn cái cách sử dụng khác"			
"A2_LIB_037"	"1"	"Uph14HYkgEQ"	"JavaScript: mình đưa thêm được một khái niệm mà thôi"	"261"	"vi-orig"	"261"
"A2_LIB_037"	"2"	"Uph14HYkgEQ"	"JavaScript: trên sân này các bạn chuyển đổi nó thành"	"506"	"vi-orig"	"506"
"A2_LIB_037"	"3"	"Uph14HYkgEQ"	"JavaScript: nhảy kép ở trong này thì các bạn sẽ phải"			
"A2_LIB_038"	"1"	"QJmNEqy0zV0"	"JavaScript: cảm thấy rằng cần hiểu nó không tự nhiên"	"192"	"vi-orig"	"192"
"A2_LIB_038"	"2"	"QJmNEqy0zV0"	"JavaScript: này mình hỏi các bạn là bây giờ mình"	"400"	"vi-orig"	"400"
"A2_LIB_038"	"3"	"QJmNEqy0zV0"	"JavaScript: không chạy xong trước đâu Kiểu như bạn"			
"A2_LIB_039"	"1"	"_4F8ihblZFU"	"JavaScript: các bạn khi nó được tivi hay các số đều"	"218"	"vi-orig"	"218"
"A2_LIB_039"	"2"	"_4F8ihblZFU"	"JavaScript: nó sẽ bật của thằng két cho này thế vậy"	"446"	"vi-orig"	"446"
"A2_LIB_039"	"3"	"_4F8ihblZFU"	"JavaScript: ngoài rất nhiều IP bằng một niềm là bằng"			
"A2_LIB_040"	"1"	"9QeNLypIiZs"	"JavaScript: cho ví dụ như trong các trường hợp mà"	"127"	"vi-orig"	"127"
"A2_LIB_040"	"2"	"9QeNLypIiZs"	"JavaScript: Nó cụ pháp này đó thì muốn đưa chân"	"258"	"vi-orig"	"258"
"A2_LIB_040"	"3"	"9QeNLypIiZs"	"JavaScript: cái cứ tự canam thì nên làm gì ở đây nó"			
"A2_LIB_041"	"1"	"J1m4vLDUhEI"	"JavaScript: này và chấm chấm chấm viết ra cái chữ"	"202"	"vi-orig"	"202"
"A2_LIB_041"	"2"	"J1m4vLDUhEI"	"JavaScript: dụ như bây giờ nhé nhiều track đó các"	"406"	"vi-orig"	"406"
"A2_LIB_041"	"3"	"J1m4vLDUhEI"	"JavaScript: discussion đó các bạn ơi chưa đấy khi"			
"A2_LIB_043"	"1"	"8KkM6JFjJZA"	"JavaScript: thằng đo mình xuất xem là 14 kích thước"	"325"	"vi-orig"	"325"
"A2_LIB_043"	"2"	"8KkM6JFjJZA"	"JavaScript: your expenses cho Android occasions đấy"	"659"	"vi-orig"	"659"
"A2_LIB_043"	"3"	"8KkM6JFjJZA"	"JavaScript: của nó là mình đeo gọi quay kia à Nếu"			
"A2_LIB_044"	"1"	"TRjVXmk8q8I"	"JavaScript: thao tác nhanh lên nhỉ này sẽ đi đó thì"	"462"	"vi-orig"	"462"
"A2_LIB_044"	"2"	"TRjVXmk8q8I"	"JavaScript: các bạn phải gửi đi một cánh nêm và cái"			
"A2_LIB_044"	"3"	"TRjVXmk8q8I"	"JavaScript: cái nhà mày thì chúng ta sẽ chuyển cái"			
"A2_LIB_045"	"1"	"vAecGPWxzFE"	"JavaScript: truy cập được từ colog nữa. Đó, lấy được"	"1429"	"vi-orig"	"1429"
"A2_LIB_045"	"2"	"vAecGPWxzFE"	"JavaScript: cái là nó sẽ tải cái thông tin mới. Các"			
"A2_LIB_045"	"3"	"vAecGPWxzFE"	"JavaScript: hai là screw viiew option này. Thì trong"			
"A2_LIB_046"	"1"	"unFHsn0qSMA"	"React Hooks: thì mình sẽ giúp thở cái video về Russia"	"132"	"vi-orig"	"132"
"A2_LIB_046"	"2"	"unFHsn0qSMA"	"React Hooks: một cái lý do tốt lên những các bạn à"			
"A2_LIB_046"	"3"	"unFHsn0qSMA"	"React Hooks: mình ha rồi Bây giờ chị sẽ được các bạn"			
"A2_LIB_047"	"1"	"_D16z1kL0wo"	"React Hooks: như tay nè rồi thì quay lại cú pháp hồi"	"192"	"vi-orig"	"192"
"A2_LIB_047"	"2"	"_D16z1kL0wo"	"React Hooks: một cái hàm di mudou truyền gentis tương"			
"A2_LIB_047"	"3"	"_D16z1kL0wo"	"React Hooks: nó nói cho anh như tay mình xài cái để"			
"A2_LIB_048"	"1"	"zjUC_W7IOIc"	"React Hooks: hai phần một loại fake hay là quy ngốc"	"216"	"vi-orig"	"216"
"A2_LIB_048"	"2"	"zjUC_W7IOIc"	"React Hooks: lấy dữ liệu đi lấy dữ liệu trên ai vidha"			
"A2_LIB_048"	"3"	"zjUC_W7IOIc"	"React Hooks: thì chưa có bạn sẽ chạy được đúng một"			
"A2_LIB_049"	"1"	"4a1_is2OdLY"	"React Hooks: các bạn và trong cái này mình sẽ bên là"	"235"	"vi-orig"	"235"
"A2_LIB_049"	"2"	"4a1_is2OdLY"	"React Hooks: flash Nếu các bạn là tôi sẽ phát thì coi"			
"A2_LIB_049"	"3"	"4a1_is2OdLY"	"React Hooks: bạn hát Ok ha Như vậy là các bạn ơi cái"			
"A2_LIB_051"	"1"	"QbC4LwsD1rw"	"React Hooks: cái đây sau đó bạn sẽ JD những gì để"	"212"	"vi-orig"	"212"
"A2_LIB_051"	"2"	"QbC4LwsD1rw"	"React Hooks: không Nam 07 ở mình muốn như vậy đúng"			
"A2_LIB_051"	"3"	"QbC4LwsD1rw"	"React Hooks: sâu con Su thì nói mới show được chưa"			
"A2_LIB_052"	"1"	"8Ee__cUapdg"	"React Hooks: chung cái A food chả ra bạn Tùy bạn"	"174"	"vi-orig"	"174"
"A2_LIB_052"	"2"	"8Ee__cUapdg"	"React Hooks: thuốc ha rồi nó reason về dữ liệu sau đó"			
"A2_LIB_052"	"3"	"8Ee__cUapdg"	"React Hooks: Ừ nó cần cái thông tin của thằng tham"			
"A2_LIB_053"	"1"	"EGVhrE6VuNM"	"React Hooks: 32 đóm y chang nhau à Rõ ràng cũng giống"	"255"	"vi-orig"	"255"
"A2_LIB_053"	"2"	"EGVhrE6VuNM"	"React Hooks: thằng này được dùng để chỉ các bạn nó sẽ"			
"A2_LIB_053"	"3"	"EGVhrE6VuNM"	"React Hooks: thì rõ ràng là gì Các bạn bạn nên nên"			
"A2_LIB_054"	"1"	"quS95gJdxsc"	"React Hooks: grandeur để danh là trong trường hợp này"	"205"	"vi-orig"	"205"
"A2_LIB_054"	"2"	"quS95gJdxsc"	"React Hooks: nó cũng bao che nhau à dữ liệu đâu có"			
"A2_LIB_054"	"3"	"quS95gJdxsc"	"React Hooks: để từ chưa các bạn ha phân biệt A cho"			
"A2_LIB_055"	"1"	"kp4fuB-0TBw"	"React Hooks: trị của nó dù cho nó có bị J Mendel lại"	"134"	"vi-orig"	"134"
"A2_LIB_055"	"2"	"kp4fuB-0TBw"	"React Hooks: 1 Sau đó chạy tới số 2 nó chẳng số 3 như"			
"A2_LIB_055"	"3"	"kp4fuB-0TBw"	"React Hooks: đơn giản để mình giúp mình có thể crack"			
"A2_LIB_056"	"1"	"Hfb76A34mBc"	"Fullstack/SERN: điều hành đây thì thằng nó CF nó chính"	"159"	"vi-orig"	"159"
"A2_LIB_056"	"2"	"Hfb76A34mBc"	"Fullstack/SERN: query SQL thuần túy thì tại sao mình lại"			
"A2_LIB_056"	"3"	"Hfb76A34mBc"	"Fullstack/SERN: nó sẽ đến sau thì đấy là một cái khái"			
"A2_LIB_058"	"1"	"Tw8Vyz7dVgc"	"Fullstack/SERN: dung rằng là mỗi một lần"	"240"	"vi-orig"	"240"
"A2_LIB_058"	"2"	"Tw8Vyz7dVgc"	"Fullstack/SERN: của cái file này thì"			
"A2_LIB_058"	"3"	"Tw8Vyz7dVgc"	"Fullstack/SERN: liệu cho người dùng này chúng ta đã có"			
"A2_LIB_059"	"1"	"B4sy3DL4IX0"	"Fullstack/SERN: này cũng được nó không nó không việc gì"	"419"	"vi-orig"	"419"
"A2_LIB_059"	"2"	"B4sy3DL4IX0"	"Fullstack/SERN: sửa lại cái này một chút này sự của"			
"A2_LIB_059"	"3"	"B4sy3DL4IX0"	"Fullstack/SERN: nữa nói là do An này thì chúng ta đã lấy"			
"A2_LIB_060"	"1"	"L3Z4KfyCZOI"	"Fullstack/SERN: rất nhiều khi các bạn làm việc với Abi"	"340"	"vi-orig"	"340"
"A2_LIB_060"	"2"	"L3Z4KfyCZOI"	"Fullstack/SERN: đã hiểu đây chính là một cái ô check thì"			
"A2_LIB_060"	"3"	"L3Z4KfyCZOI"	"Fullstack/SERN: đăng nhập cách các bạn ơi nhấn vào nút"			
"A2_LIB_061"	"1"	"AAAKXp2wa-0"	"Fullstack/SERN: mình không dùng thuốc mình vẫn trung"	"207"	"vi-orig"	"207"
"A2_LIB_061"	"2"	"AAAKXp2wa-0"	"Fullstack/SERN: khách hàng ấy thì khi đấy nếu mà các bạn"			
"A2_LIB_061"	"3"	"AAAKXp2wa-0"	"Fullstack/SERN: chúng ta lại thay báo những phong chuyển"			
"A2_LIB_062"	"1"	"rgSgSe1QUqU"	"Fullstack/SERN: đơn vào ngoặc kép như thế này để chúng"	"603"	"vi-orig"	"603"
"A2_LIB_062"	"2"	"rgSgSe1QUqU"	"Fullstack/SERN: câu lệnh như thế này cho mình nick chấm"			
"A2_LIB_062"	"3"	"rgSgSe1QUqU"	"Fullstack/SERN: trong này mình sẽ Tết với class và và"			
"A2_LIB_063"	"1"	"YqAU7T-BoDE"	"Fullstack/SERN: thống của chúng ta thì sau khi chúng ta"	"912"	"vi-orig"	"912"
"A2_LIB_063"	"2"	"YqAU7T-BoDE"	"Fullstack/SERN: cái thằng error code và chúng ta sẽ chả"			
"A2_LIB_063"	"3"	"YqAU7T-BoDE"	"Fullstack/SERN: lại cái thằng là cái thằng thằng Batman"			
"A2_LIB_065"	"1"	"pgZev-Y15EM"	"Fullstack/SERN: cái biến let you giờ đấy nha bạn các bạn"	"443"	"vi-orig"	"443"
"A2_LIB_065"	"2"	"pgZev-Y15EM"	"Fullstack/SERN: dùng một cái ultraview nha họ sẽ dùng"			
"A2_LIB_065"	"3"	"pgZev-Y15EM"	"Fullstack/SERN: How to Return đây mình sẽ mở vài topic"			
"A2_LIB_066"	"1"	"t_cedTldfjs"	"Fullstack/SERN: Ừ thì gọi là quan hệ nhiều nhiều rồi sau"	"932"	"vi-orig"	"932"
"A2_LIB_066"	"2"	"t_cedTldfjs"	"Fullstack/SERN: chúng ta có một cái là cần sen content ở"			
"A2_LIB_066"	"3"	"t_cedTldfjs"	"Fullstack/SERN: các bạn gọi là xem cái culi cái que di"			
"A2_LIB_067"	"1"	"-cg9dq-Jq2M"	"Fullstack/SERN: thì mình đã có một cái file Excel mình"	"158"	"vi-orig"	"158"
"A2_LIB_067"	"2"	"-cg9dq-Jq2M"	"Fullstack/SERN: đúng không Ngoài ra nữa khoa học này"			
"A2_LIB_067"	"3"	"-cg9dq-Jq2M"	"Fullstack/SERN: là những cái skill những cái kỹ năng"			
"A2_LIB_068"	"1"	"w946spjx_z0"	"Fullstack/SERN: như bây giờ chúng ta lấy trong file đó"	"178"	"vi-orig"	"178"
"A2_LIB_068"	"2"	"w946spjx_z0"	"Fullstack/SERN: cho mình một câu lệnh nha bên trong cái"			
"A2_LIB_068"	"3"	"w946spjx_z0"	"Fullstack/SERN: chạy cái file server.s bây giờ chúng ta"			
"A2_LIB_069"	"1"	"L-Tzu2jT3Dw"	"Fullstack/SERN: đó chúng ta Build ở đây đúng không tiếp"	"220"	"vi-orig"	"220"
"A2_LIB_069"	"2"	"L-Tzu2jT3Dw"	"Fullstack/SERN: này Tại sao mà tên của Network nó lại"			
"A2_LIB_069"	"3"	"L-Tzu2jT3Dw"	"Fullstack/SERN: này các bạn này là nó kết nối thông qua"			
"A2_LIB_070"	"1"	"wcQz4gSbSms"	"Fullstack/SERN: config Final của chúng ta để chạy được"	"147"	"vi-orig"	"147"
"A2_LIB_070"	"2"	"wcQz4gSbSms"	"Fullstack/SERN: rồi chỉ có mỗi cái thằng econ X là nó bu"			
"A2_LIB_070"	"3"	"wcQz4gSbSms"	"Fullstack/SERN: vì bây giờ chúng ta đã bỏ đi cái phần"			
"A2_LIB_072"	"1"	"NkulG9hH2LI"	"Fullstack/SERN: đây thì hi vọng rằng là à Không phải cái"	"236"	"vi-orig"	"236"
"A2_LIB_072"	"2"	"NkulG9hH2LI"	"Fullstack/SERN: cái phần Nhấn vào phần này xem nào xem"			
"A2_LIB_072"	"3"	"NkulG9hH2LI"	"Fullstack/SERN: advan đấy các bạn tức là chúng ta sẽ cần"			
"A2_LIB_073"	"1"	"ncV0OEa9GoQ"	"Fullstack/SERN: rằng là chúng ta chưa có cái đường link"	"408"	"vi-orig"	"408"
"A2_LIB_073"	"2"	"ncV0OEa9GoQ"	"Fullstack/SERN: version của thằng mpm đôi khi nó bị"			
"A2_LIB_073"	"3"	"ncV0OEa9GoQ"	"Fullstack/SERN: chúng ta dùng hàng free thì đôi khi rằng là nó khá chi là thốn vậy đó các bạn thì"			
"A2_LIB_074"	"1"	"SdcdneSdoV4"	"Node/Express: mình gọi cho các bạn thì đó là một"	"235"	"vi-orig"	"235"
"A2_LIB_074"	"2"	"SdcdneSdoV4"	"Node/Express: cốt từng này thì chị sẽ có sau này chỉ"			
"A2_LIB_074"	"3"	"SdcdneSdoV4"	"Node/Express: hiển thị ra ở những phần header này được"			
"A2_LIB_075"	"1"	"Wz6WghmEmFk"	"Node/Express: lý tự dặm một phân xưởng 2 Noel hai đầu"	"173"	"vi-orig"	"173"
"A2_LIB_075"	"2"	"Wz6WghmEmFk"	"Node/Express: này cái phát triển nó được gọi thì giờ"			
"A2_LIB_075"	"3"	"Wz6WghmEmFk"	"Node/Express: giúp các bạn có thể tùy chọn và cấu hình"			
"A2_LIB_076"	"1"	"LlfdqnK28Cg"	"Node/Express: ra một cái rau để đón lấy cái quần này"	"253"	"vi-orig"	"253"
"A2_LIB_076"	"2"	"LlfdqnK28Cg"	"Node/Express: Minecraft thì các bạn cứ Hình dung là"			
"A2_LIB_076"	"3"	"LlfdqnK28Cg"	"Node/Express: reflect nhé để mình click là đi Này mình"			
"A2_LIB_077"	"1"	"N8GhaR7K3tI"	"Node/Express: bạn viết chung một vài và cư thế này thì"	"97"	"vi-orig"	"97"
"A2_LIB_077"	"2"	"N8GhaR7K3tI"	"Node/Express: lên web server này bắt đầu nó qua cái"			
"A2_LIB_077"	"3"	"N8GhaR7K3tI"	"Node/Express: diện hóa học thì nó sẽ lấy ra"			
"A2_LIB_078"	"1"	"Pd_ZIpCVZPc"	"Node/Express: đây thì nó chạy ở đây thôi những cái"	"642"	"vi-orig"	"642"
"A2_LIB_078"	"2"	"Pd_ZIpCVZPc"	"Node/Express: của thư viện và mà thôi thì chúng nó"			
"A2_LIB_078"	"3"	"Pd_ZIpCVZPc"	"Node/Express: thằng yêu sẽ như này vào nhá đó thì đây"			
"A2_LIB_079"	"1"	"nqLXmpEgU2w"	"Node/Express: chết ở cái đầu số thứ hai là Ford Ranger"	"338"	"vi-orig"	"338"
"A2_LIB_079"	"2"	"nqLXmpEgU2w"	"Node/Express: nó khó chịu nên mình sẽ là một chút để"			
"A2_LIB_079"	"3"	"nqLXmpEgU2w"	"Node/Express: chết và mình sẽ truyền ra hai hai cái"			
"A2_LIB_080"	"1"	"dstdrBsf7ag"	"Node/Express: vài cái xem là nó nhiều nhiều người đau"	"696"	"vi-orig"	"696"
"A2_LIB_080"	"2"	"dstdrBsf7ag"	"Node/Express: ẩn đi không để lại cũng không sao Miễn"			
"A2_LIB_080"	"3"	"dstdrBsf7ag"	"Node/Express: lấy được cái ID của cái nút mà chúng ta"			
"A2_HIST_01"	"1"	"7L0RLrfrBHE"	"Java Core: mình nhớ sau khi mà chúng ta có cái này"	"12934"	"vi-orig"	"12934"
"A2_HIST_01"	"2"	"7L0RLrfrBHE"	"Java Core: đôi khi ấ chúng ta muốn muốn lặp lại ký"			
"A2_HIST_02"	"1"	"MoD_cqJ9s6g"	"DSA: Đò đi nó sẽ lại tờ tôi trò những phần tử"	"771"	"vi-orig"	"771"
"A2_HIST_02"	"2"	"MoD_cqJ9s6g"	"DSA: tại 6412 cái nghĩ ra 6 khóa bạn sẽ thấy"			
