fixture_key	video_id	tag
A2_LIB_068	w946spjx_z0	Backend
A2_LIB_068	w946spjx_z0	Docker
A2_LIB_069	L-Tzu2jT3Dw	Backend
A2_LIB_069	L-Tzu2jT3Dw	Docker
A2_LIB_070	wcQz4gSbSms	Backend
A2_LIB_070	wcQz4gSbSms	Docker
A2_LIB_071	WvAznEDhCdE	Backend
A2_LIB_071	WvAznEDhCdE	Database
A2_LIB_072	NkulG9hH2LI	Backend
A2_LIB_072	NkulG9hH2LI	Deployment
A2_LIB_073	ncV0OEa9GoQ	Backend
A2_LIB_073	ncV0OEa9GoQ	Deployment
A2_LIB_074	SdcdneSdoV4	Node.js
A2_LIB_074	SdcdneSdoV4	HTTP
A2_LIB_075	Wz6WghmEmFk	Node.js
A2_LIB_075	Wz6WghmEmFk	Express.js
A2_LIB_076	LlfdqnK28Cg	Node.js
A2_LIB_076	LlfdqnK28Cg	HTTP
A2_LIB_077	N8GhaR7K3tI	Node.js
A2_LIB_077	N8GhaR7K3tI	MVC
A2_LIB_078	Pd_ZIpCVZPc	Node.js
A2_LIB_078	Pd_ZIpCVZPc	MVC
A2_LIB_079	nqLXmpEgU2w	Node.js
A2_LIB_079	nqLXmpEgU2w	Database
A2_LIB_080	dstdrBsf7ag	Node.js
A2_LIB_080	dstdrBsf7ag	Express.js
A2_LIB_059	B4sy3DL4IX0	SQL
A2_LIB_003	6AWG5AXWCzg	Backend
A2_LIB_004	xzbF3XpiHlo	Collections
A2_LIB_005	wO4oDe-hEKo	Backend
A2_LIB_006	PaOJlKbwiX0	Backend
A2_LIB_007	tmKzNlHXmR0	Backend
A2_LIB_008	YyMOnvkhXLU	Backend
A2_LIB_009	teQ5QZ2lUkE	Backend
A2_LIB_010	LykA5UTyrMs	Backend
A2_LIB_011	IhnwAcrBRTs	Backend
A2_LIB_012	pXzRhD4Vu2s	Backend
A2_LIB_013	yMRSXK9dfp8	Backend
A2_LIB_014	vIob6cVNufw	Backend
A2_LIB_015	eRj_XQawcBg	Backend
A2_LIB_016	xN_DF0FRx7A	Backend
A2_LIB_017	GgAsaNcxdwY	Backend
A2_LIB_018	9M0UjGVZaDY	Backend
A2_LIB_021	Pju2Y69Q6ew	Collections
A2_LIB_026	XUx3iJVPdxA	Collections
A2_LIB_027	PPyw2vp6SIU	Collections
A2_LIB_031	DMrd-RnLeJI	Collections
A2_LIB_032	KXsfp8YiucE	Collections
A2_LIB_033	W8vJ-yOtSbE	ES6+
A2_LIB_034	TsTr-tKCREc	ES6+
A2_LIB_035	AA3WWZAMv_0	ES6+
A2_LIB_036	U624VLOxiTo	ES6+
A2_LIB_038	QJmNEqy0zV0	ES6+
A2_LIB_039	_4F8ihblZFU	ES6+
A2_LIB_043	8KkM6JFjJZA	REST API
A2_LIB_044	TRjVXmk8q8I	REST API
A2_LIB_046	unFHsn0qSMA	JavaScript
A2_LIB_047	_D16z1kL0wo	JavaScript
A2_LIB_048	zjUC_W7IOIc	JavaScript
A2_LIB_049	4a1_is2OdLY	JavaScript
A2_LIB_050	WF3pUtvC01M	JavaScript
A2_LIB_051	QbC4LwsD1rw	JavaScript
A2_LIB_052	8Ee__cUapdg	JavaScript
A2_LIB_053	EGVhrE6VuNM	JavaScript
A2_LIB_054	quS95gJdxsc	JavaScript
A2_LIB_055	kp4fuB-0TBw	JavaScript
